id,bin,triplet_type,median_rt
63xil5ki,5,H,363.49999994039536
63xil5ki,5,L,350.5
63xil5ki,6,H,360.60000002384186
63xil5ki,6,L,365.4500000476837
66jz8ugt,1,H,360
66jz8ugt,1,L,380.39999997615814
66jz8ugt,2,H,350.0499999523163
66jz8ugt,2,L,383.25
66jz8ugt,3,H,340.80000001192093
66jz8ugt,3,L,354.1999999284744
66jz8ugt,4,H,325.69999998807907
66jz8ugt,4,L,339.44999998807907
66jz8ugt,5,H,335.9500000476837
66jz8ugt,5,L,342.5
66jz8ugt,6,H,339
66jz8ugt,6,L,348.39999997615814
6f2ol425,1,H,401
6f2ol425,1,L,403.85000002384186
6f2ol425,2,H,412.55000001192093
6f2ol425,2,L,405.59999990463257
6f2ol425,3,H,366
6f2ol425,3,L,397.2000000476837
6f2ol425,4,H,334.2000000476837
6f2ol425,4,L,340.2000000476837
6f2ol425,5,H,342.5
6f2ol425,5,L,349.6500000357628
6f2ol425,6,H,357.7000000476837
6f2ol425,6,L,357.8500000834465
6gwztzbq,1,H,328.20000000298023
6gwztzbq,1,L,327.40000000596046
6gwztzbq,2,H,334.29999999701977
6gwztzbq,2,L,353.30000001192093
6gwztzbq,3,H,329.8999999985099
6gwztzbq,3,L,334.3999999910593
6gwztzbq,4,H,308.29999999701977
6gwztzbq,4,L,331.80000001192093
6gwztzbq,5,H,351.09999999403954
6gwztzbq,5,L,355.5
6gwztzbq,6,H,337.8999999985099
6gwztzbq,6,L,354.90000000596046
6jpt0age,1,H,330.60000002384186
6jpt0age,1,L,358.35000002384186
6jpt0age,2,H,321.94999998807907
6jpt0age,2,L,338.25
6jpt0age,3,H,338.10000002384186
6jpt0age,3,L,337.40000009536743
6jpt0age,4,H,308.3499999642372
6jpt0age,4,L,313.2999999523163
6jpt0age,5,H,334.4000000357628
6jpt0age,5,L,325.89999997615814
6jpt0age,6,H,316.99999994039536
6jpt0age,6,L,330.30000001192093
6ui53ym6,1,H,455.2999999821186
6ui53ym6,1,L,448.09999999403954
6ui53ym6,2,H,431.79999999701977
6ui53ym6,2,L,414.55000001192093
6ui53ym6,3,H,422.39999997615814
6ui53ym6,3,L,434.7999999821186
6ui53ym6,4,H,361.3999999910593
6ui53ym6,4,L,385.40000000596046
6ui53ym6,5,H,413.94999998807907
6ui53ym6,5,L,404.7999999821186
6ui53ym6,6,H,366.90000000596046
6ui53ym6,6,L,406.199999988079
7cwp4v6n,1,H,393
7cwp4v6n,1,L,405
7cwp4v6n,2,H,395
7cwp4v6n,2,L,401
7cwp4v6n,3,H,370
7cwp4v6n,3,L,384
7cwp4v6n,4,H,370.5
7cwp4v6n,4,L,391
7cwp4v6n,5,H,378
7cwp4v6n,5,L,381
7cwp4v6n,6,H,373
7cwp4v6n,6,L,380.5
7e2tmpa6,1,H,396.2000000011176
7e2tmpa6,1,L,388.9000000003726
7e2tmpa6,2,H,452.25
7e2tmpa6,2,L,418.5999999996274
7e2tmpa6,3,H,395.80000000074506
7e2tmpa6,3,L,410.9000000003726
7e2tmpa6,4,H,352.34999999962747
7e2tmpa6,4,L,361.0499999988824
7e2tmpa6,5,H,359.19999999925494
7e2tmpa6,5,L,351.0999999977648
7e2tmpa6,6,H,357.30000000074506
7e2tmpa6,6,L,367.84999999962747
7etrw5nu,1,H,319.1000000014901
7etrw5nu,1,L,314.6000000014901
7etrw5nu,2,H,322.40000000596046
7etrw5nu,2,L,317.1000000014901
7etrw5nu,3,H,315.69999999925494
7etrw5nu,3,L,321.5
7etrw5nu,4,H,314.79999999701977
7etrw5nu,4,L,314.55000000074506
7etrw5nu,5,H,306.5
7etrw5nu,5,L,306.5
7etrw5nu,6,H,305.7499999962747
7etrw5nu,6,L,305.6000000014901
7qw1xhrh,1,H,424.59999990463257
7qw1xhrh,1,L,403.89999997615814
7qw1xhrh,2,H,460.75
7qw1xhrh,2,L,469.5500000715256
7qw1xhrh,3,H,414.2999999523163
7qw1xhrh,3,L,421.9500000476837
7qw1xhrh,4,H,404.5
7qw1xhrh,4,L,399.40000009536743
7qw1xhrh,5,H,395.65000009536743
7qw1xhrh,5,L,402.65000009536743
7qw1xhrh,6,H,415.80000019073486
7qw1xhrh,6,L,421.3000000715256
81bqimnf,1,H,382.39999985694885
81bqimnf,1,L,390.60000002384186
81bqimnf,2,H,389.7000000476837
81bqimnf,2,L,398.2000000476837
81bqimnf,3,H,350.59999990463257
81bqimnf,3,L,373.7000000476837
81bqimnf,4,H,325
81bqimnf,4,L,333.25
81bqimnf,5,H,355.9499999284744
81bqimnf,5,L,348.60000014305115
81bqimnf,6,H,372.2000000476837
81bqimnf,6,L,391.85000014305115
81db02fc,1,H,370.59999990463257
81db02fc,1,L,381.59999990463257
81db02fc,2,H,361.10000002384186
81db02fc,2,L,382.59999990463257
81db02fc,3,H,360
81db02fc,3,L,361.09999990463257
81db02fc,4,H,333.7000000476837
81db02fc,4,L,356.14999997615814
81db02fc,5,H,365.09999990463257
81db02fc,5,L,354.9500000476837
81db02fc,6,H,347
81db02fc,6,L,378.2000000476837
8c1fhpt1,1,H,544.5
8c1fhpt1,1,L,506
8c1fhpt1,2,H,463
8c1fhpt1,2,L,487
8c1fhpt1,3,H,428
8c1fhpt1,3,L,434.5
8c1fhpt1,4,H,437.5
8c1fhpt1,4,L,434.5
8c1fhpt1,5,H,458
8c1fhpt1,5,L,453
8c1fhpt1,6,H,455
8c1fhpt1,6,L,478
8cav5z8q,1,H,554.6999999880791
8cav5z8q,1,L,543.0499999821186
8cav5z8q,2,H,546.1999999880791
8cav5z8q,2,L,504.9500000476837
8cav5z8q,3,H,516.5499999821186
8cav5z8q,3,L,523.2500000298023
8cav5z8q,4,H,477.5999999642372
